loop: Initializing
Connecting to 60_C0_BF_2F_6E_A0
Connected to 60_C0_BF_2F_6E_A0
Device: /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0. /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021
Size: 2
Sent
Size: 17
Data (uint8): 1 0 98 3 34 51 68 85 102 119 1 0 0 0 0 2 0 
Data (hex): 1 0 62 3 22 33 44 55 66 77 1 0 0 0 0 2 0 
Version: 1
Device Capabilities(side): 0
Device Capabilities(type): 0
HiSync ID: 144115188075951974
Feature map: 0
Render delay: 25089
Reserved: 0
Supported Codecs: 0
Sent
Done.
L2CAP: Created socket 60_C0_BF_2F_6E_A0:168
L2CAP socket bound
Setting sockopts
Set recv mtu
Unable to set send mtu. Operation not permitted (1)
L2CAP: Connected to 60:C0:BF:2F:6E:A0:168
socket: 5
Writing to /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021/char0025
AudioControlPoint Written
     0 | 1337570387776 | Wrote 161 bytes
sleep(19898 μs) |    300 | 1343570503808 | Wrote 161 bytes
sleep(19856 μs) |    301 | 1343590534221 | Wrote 161 bytes
sleep(19821 μs) |    302 | 1343610525933 | Wrote 161 bytes
sleep(19830 μs) |    303 | 1343630528821 | Wrote 161 bytes
sleep(19829 μs) |    304 | 1343650463478 | Wrote 161 bytes
sleep(19894 μs) |    305 | 1343670540473 | Wrote 161 bytes
sleep(19817 μs) |    306 | 1343690536356 | Wrote 161 bytes
sleep(19822 μs) |    307 | 1343710517829 | Wrote 161 bytes
sleep(19838 μs) |    308 | 1343730516536 | Wrote 161 bytes
sleep(19840 μs) |    309 | 1343750524402 | Wrote 161 bytes
sleep(19831 μs) |    310 | 1343770543021 | Wrote 161 bytes
sleep(19814 μs) |    311 | 1343790530149 | Wrote 161 bytes
sleep(19828 μs) |    312 | 1343810512682 | Wrote 161 bytes
sleep(19842 μs) |    313 | 1343830538160 | Wrote 161 bytes
sleep(19819 μs) |    314 | 1343850509346 | Wrote 161 bytes
sleep(19847 μs) |    315 | 1343870513821 | Wrote 161 bytes
sleep(19842 μs) |    316 | 1343890457368 | Wrote 161 bytes
sleep(19900 μs) |    317 | 1343910514550 | Wrote 161 bytes
sleep(19842 μs) |    318 | 1343930522935 | Wrote 161 bytes
sleep(19834 μs) |    319 | 1343950491359 | Wrote 161 bytes
sleep(19865 μs) |    320 | 1343970481454 | Wrote 161 bytes
sleep(19877 μs) |    321 | 1343990510184 | Wrote 161 bytes
sleep(19850 μs) |    322 | 1344010482473 | Wrote 161 bytes
sleep(19877 μs) |    323 | 1344030540454 | Wrote 161 bytes
sleep(19816 μs) |    324 | 1344050514007 | Wrote 161 bytes
sleep(19844 μs) |    325 | 1344070541635 | Wrote 161 bytes
sleep(19813 μs) |    326 | 1344090531163 | Wrote 161 bytes
sleep(19827 μs) |    327 | 1344110513596 | Wrote 161 bytes
sleep(19845 μs) |    328 | 1344130521596 | Wrote 161 bytes
sleep(19816 μs) |    329 | 1344150515308 | Wrote 161 bytes
sleep(19842 μs) |    330 | 1344170519503 | Wrote 161 bytes
sleep(19836 μs) |    331 | 1344190462909 | Wrote 161 bytes
sleep(19895 μs) |    332 | 1344210513671 | Wrote 161 bytes
sleep(19844 μs) |    333 | 1344230514793 | Wrote 161 bytes
sleep(19842 μs) |    334 | 1344250531862 | Wrote 161 bytes
sleep(19826 μs) |    335 | 1344270510107 | Wrote 161 bytes
sleep(19846 μs) |    336 | 1344290545120 | Wrote 161 bytes
sleep(19812 μs) |    337 | 1344310530091 | Wrote 161 bytes
sleep(19828 μs) |    338 | 1344330485642 | Wrote 161 bytes
sleep(19870 μs) |    339 | 1344350539416 | Wrote 161 bytes
sleep(19816 μs) |    340 | 1344370512751 | Wrote 161 bytes
sleep(19844 μs) |    341 | 1344390519654 | Wrote 161 bytes
sleep(19836 μs) |    342 | 1344410467769 | Wrote 161 bytes
sleep(19888 μs) |    343 | 1344430474822 | Wrote 161 bytes
sleep(19880 μs) |    344 | 1344450507628 | Wrote 161 bytes
sleep(19850 μs) |    345 | 1344470473167 | Wrote 161 bytes
sleep(19883 μs) |    346 | 1344490560373 | Wrote 161 bytes
sleep(19797 μs) |    347 | 1344510472269 | Wrote 161 bytes
sleep(19888 μs) |    348 | 1344530462442 | Wrote 161 bytes
sleep(19897 μs) |    349 | 1344550450823 | Wrote 161 bytes
sleep(19887 μs) |    350 | 1344570478781 | Wrote 161 bytes
sleep(19879 μs) |    351 | 1344590446408 | Wrote 161 bytes
sleep(19914 μs) |    352 | 1344610438390 | Wrote 161 bytes
