$ ./asha-support 60_C0_BF_2F_6E_A0
loop: Initializing
Connecting to 60_C0_BF_2F_6E_A0
Connected to 60_C0_BF_2F_6E_A0
Device: /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0. /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021
Size: 2
Sent
Size: 17
Data (uint8): 1 0 98 3 34 51 68 85 102 119 1 0 0 0 0 2 0 
Data (hex): 1 0 62 3 22 33 44 55 66 77 1 0 0 0 0 2 0 
Version: 1
Device Capabilities(side): 0
Device Capabilities(type): 0
HiSync ID: 144115188075951974
Feature map: 0
Render delay: 25089
Reserved: 0
Supported Codecs: 0
Sent
Done.
L2CAP: Created socket 60_C0_BF_2F_6E_A0:168
L2CAP socket bound
Setting sockopts
Set recv mtu
Unable to set send mtu. Operation not permitted (1)
L2CAP: Connected to 60:C0:BF:2F:6E:A0:168
socket: 5
Writing to /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021/char0025
AudioControlPoint Written
     0 | 26517243972227 | Wrote 161 bytes
sleep(19886 μs) |    156 | 26520364117534 | Wrote 161 bytes
sleep(19829 μs) |    157 | 26520384045554 | Wrote 161 bytes
sleep(19896 μs) |    158 | 26520404133486 | Wrote 161 bytes
sleep(19800 μs) |    159 | 26520424073489 | Wrote 161 bytes
sleep(19857 μs) |    160 | 26520444139453 | Wrote 161 bytes
sleep(19791 μs) |    161 | 26520464137953 | Wrote 161 bytes
sleep(19795 μs) |    162 | 26520484134261 | Wrote 161 bytes
sleep(19798 μs) |    163 | 26520504135021 | Wrote 161 bytes
sleep(19797 μs) |    164 | 26520524150231 | Wrote 161 bytes
sleep(19780 μs) |    165 | 26520544143123 | Wrote 161 bytes
sleep(19787 μs) |    166 | 26520564100118 | Wrote 161 bytes
sleep(19835 μs) |    167 | 26520584108997 | Wrote 161 bytes
sleep(19829 μs) |    168 | 26520604105175 | Wrote 161 bytes
sleep(19835 μs) |    169 | 26520624071923 | Wrote 161 bytes
sleep(19879 μs) |    170 | 26520644059770 | Wrote 161 bytes
sleep(19893 μs) |    171 | 26520664105497 | Wrote 161 bytes
sleep(19846 μs) |    172 | 26520684151307 | Wrote 161 bytes
sleep(19801 μs) |    173 | 26520704069826 | Wrote 161 bytes
sleep(19882 μs) |    174 | 26520724118709 | Wrote 161 bytes
sleep(19816 μs) |    175 | 26520744059425 | Wrote 161 bytes
sleep(19880 μs) |    176 | 26520764129641 | Wrote 161 bytes
sleep(19803 μs) |    177 | 26520784119925 | Wrote 161 bytes
sleep(19811 μs) |    178 | 26520804107193 | Wrote 161 bytes
sleep(19834 μs) |    179 | 26520824059769 | Wrote 161 bytes
sleep(19878 μs) |    180 | 26520844107263 | Wrote 161 bytes
sleep(19833 μs) |    181 | 26520864081248 | Wrote 161 bytes
sleep(19862 μs) |    182 | 26520884065641 | Wrote 161 bytes
sleep(19887 μs) |    183 | 26520904068311 | Wrote 161 bytes
sleep(19881 μs) |    184 | 26520924097210 | Wrote 161 bytes
sleep(19840 μs) |    185 | 26520944111335 | Wrote 161 bytes
